,Song_name,red-hot-chili-peppers
204,pretty little ditty   ,
205,knock me down   ,"""Never too soon to be through Being cool too much too soon Too much for me too much for you You're gonna lose in time Don't be afraid to show your friends That you hurt inside inside Pain's part of life don't hide behind your false pride It's a lie your lie"", ""If you see me getting mighty If you see me getting high Knock me down I'm not bigger than life"", ""If you see me getting mighty If you see me getting high Knock me down I'm not bigger than life"", ""I'm tired of being untouchable I'm not above the love I'm part of you and you're part of me Why did you go away Finding what you're looking for Can end up being being such a bore I pray for you most every day My love's with you now fly away"", ""If you see me getting mighty If you see me getting high Knock me down I'm not bigger than life"", ""If you see me getting mighty If you see me getting high Knock me down I'm not bigger than life"", ""If you see me getting mighty If you see me getting high Knock me down I'm not bigger than life"", ""If you see me getting mighty If you see me getting high Knock me down I'm not bigger than life"", ""If you see me getting mighty If you see me getting high Knock me down I'm not bigger than life"", ""If you see me getting mighty If you see me getting high Knock me down I'm not bigger than life"", ""If you see me getting mighty If you see me getting high Knock me down I'm not bigger than life"", ""If you see me getting mighty If you see me getting high Knock me down I'm not bigger than life"", ""It's so lonely when you don't even know yourself It's so lonely It's so lonely when you don't even know yourself It's so lonely It's so lonely when you don't even know yourself It's so lonely"""
206,the hunter   ,"""Woke up this morning like I always do I still like to think that I'm new Time just gets its way Strawberries left to decay"", ""Can't find my pants or my bank account Don't you slip away Voices that start to betray"", ""Even though you raised me I will never be your father King of each and every Sunset Marquis Even though you're crazy you will never be a bother You're my Old Man In the Sea"", ""I still like to laugh when I make a joke I still like to think that there's hope Time just has its say Strawberries left to decay"", ""Struck by the sight of an empty hall Don't you fade away Voices that start to betray"", ""Even though you raised me I will never be your father King of each and every Sunset Marquis Even though you're crazy you will never be a bother You're my Old Man In the Sea"", ""The hunter gets hunted We all get confronted Don't just slip away Voices that start to betray"", ""Even though you raised me I will never be your father King of each and every Sunset Marquis Even though you're crazy you will never be a bother You're my Old Man In the Sea"""
207,i found out   ,"""I told you before, stay away from my door Don't give me that brother, brother, brother, brother The freaks on the phone, won't leave me alone So don't give me that brother, brother, brother, brother No!"", ""I, I found out! I, I found out!"", ""Now that I showed you what I been through Don't take nobody's word what you can do There ain't no Jesus gonna come from the sky Now that I found out I know I can cry"", ""I, I found out! I, I found out!"", ""Some of you sitting there with your cock in your hand Don't get you nowhere don't make you a man I heard something 'bout my Ma and my Pa They didn't want me so they made me a star"", ""I, I found out! I, I found out!"", ""Old Hare Krishna got nothing on you Just keep you crazy with nothing to do Keep you occupied with pie in the sky There ain't no guru who can see through your eyes"", ""I, I found out! I, I found out!"", ""I've seen through junkies, I've been through it all I seen religion from Jesus to Paul Don't let them fool you with dope and cocaine No one can harm you, feel your own pain"", ""I, I found out! I, I found this out! I, I found out!"""
208,subterranean homesick blues   ,"""Johnny's in the basement mixing up the medicine I'm on the pavement thinking about the goverment The man in the trench coat, badge out, laid off, Says he's got a bad cough: wants to get it paid off Paid off"", ""God knows when but you're doin' it again! You better duck down the alleyway lookin' for a new friend The man in the coonskin cap in the big pen Wants eleven dollar bills: you only got ten So look out kid"", ""Look out, kid Look out, kid, because it's somethin' that you did, kid Look out, kid, because they keep all hid"", ""Maggie comes fleet foot, face full of black soot Talkin' at the heat put plants in the bed but The phone's tapped anyway, maggie says that many say They must bust in early May Orders from the D.A."", ""Walkin' on your tip toes, don't try no doze Better stay away from those that carry around a fire hose Keep a clean nose, watch the plain clothes Cause we don't need a weather man to know which way the wind blows"", ""Look out, kid Look out, kid, because it's somethin' that you did, kid Look out, kid, because they keep all hid"", ""Looks to me like you did A little to much hittin' kid You should've took it to the bridge Before you started to skid, kid"", ""Look out, kid The good god willin', we'll bebop to Bob Dylan Chillin' em, thrillin' em, and red hot killin' em Killin' em I said killin' em"", ""Get sick, get well, hand around an ink well Ring bell, hard to tell if anything is goin' to sell Try hard, get barred, get back, write braille Get jailed, jump bail, join the army, if you fail"", ""But users, cheaters, six time losers Hand around the theatres Girl by the whirlpool lookin' for a new fool Don't follow leaders, watch the parkin' meters"", ""Look out, kid Look out, kid, because it's somethin' that you did, kid Look out, kid, because they keep all hid"", ""Look out, kid Look out, kid, because it's somethin' that you did, kid Look out, kid, because they keep all hid"""
209,out of range   ,"""Leaving town I found a flower that I could deserve  Someone moves and someone's bound to get their feelings hurt  I'm loving you, you're out of range  Wanted you you're out of range "", ""As I walked out into a world I feel a sudden chill  I was bleeding put it good onto a daffodil Loving you, you're out of range  Wanted to, you're out of range "", ""I don't want too much more than  Than to be reborn  In the morning  Reborn so I can feel you  The thorns are blooming with ya I feel you "", ""I have your number and I dialed it up a hundred times  Barely there, your voice is crackin' up across state lines  Loving you, you're out of range  Wanted you, you're out of range "", ""Skies of ecstacy we're breaking well I do believe  The tears of God were falling down upon my swollen cheeks  Loving you, you're out of range  Wanted you, you're out of range "", ""I don't want too much more than  Than to be reborn  In the morning  Reborn so I can feel you  The thorns are blooming with ya I feel you "", ""I know it hurts when it's taken away  I tell you that I could be living  Today with you or without you, ok  Washed by the rain and it's all gonna change "", ""I don't want too much more than  Than to be reborn  In the morning  Reborn so I can feel you  The thorns are blooming with ya I feel you"", ""No sir, not too much more than  Than to be reborn  In the morning  Reborn so I can feel you  The thorns are blooming with ya I feel you"""
210,the sunset sleeps   ,"""Floozies at the rainbow Superstars that won't get far Who is who that we know Coochie coo is at the bar"", ""Do you really love Do you love do you love Do you wanna make the call We all long We all fall"", ""Shoelace for the sirenes Groupies and the tyrant's ply"", ""Do your really want Do you want do you want Do you want to have it all We all long We all fall"", ""I'm so tired Well I get by but I could use a few I'm so tired that I slept along the way"", ""A suitcase of perception Rhinestones and redemption cries Do you really love Do you love do you love Do you wanna make the call We all long We all fall"", ""I'm so tired The sun beats down upon my lonely face I'm so tired that I slept along the way"", ""Do you really love Do you love do you chase Do you take this town today We all long We all face"", ""I'm so tired Well I get by but I could use a few And I'm so tired that I slept along the way"", ""The sun beats down upon my lonely face and A perfect world with all it's perfect places"", ""I could use a few for just in cases And I'm so tired that I slept along the way"""
211,thirty dirty birds   ,"""Thirty dirty birds Sitting on a curb Chirping and Burping And eating Dirty earthworms"", ""Along comes Herbie From thirty-third And third Saw the thirty Dirty birds Sitting on a curb Chirping and Burping And eating Dirty earthworms Boy he was Disturbed"""
212,animal bar   ,"""Never 21 when everyone's a sailor Coming up strong at the animal bar Ever-loving mug of Mr. Norman Mailer Turn another page at the animal bar"", ""And it won't be long No it won't be long No it won't be long Because it can't be long"", ""I, I, I, the cry of isolation I, I, I, the high of meditation I, I, I, the sweet precipitation I, I, I, the high of depravation"", ""And it won't be long No it won't be long No it won't be long Because it can't be long"", ""Rain on my frustration Stake my claim, now break this Wash me down my station Makes more rain forsaken"", ""In-between the sky and every piece of the earth One, two, three, let's make this Running through the mud I've got a feeling of worth One, two, three, forsake this"", ""All aboard the ship, 'cause you're gonna need an ark When the wet comes down you'll be swimming like a shark Mopping up the pain and I'm a little older Right as rain at the animal bar"", ""And it won't be long No it won't be long No it won't be long Because it can't be long"", ""I, I, I, the cry of isolation I, I, I, the high of meditation I, I, I, the mild precipitation I, I, I, the high of depravation"", ""And it won't be long No it won't be long No it won't be long Because it can't be long"", ""Rain on my frustration Stake my claim, now break this Wash me down my station Makes more rain forsaken"", ""In-between the sky and every piece of the earth One, two, three, let's make this Running through the mud I've got a feeling of worth One, two, three, forsake this"", ""Raindrops will fall from the sky Stealing their shape from your eye Now we can all get some sleep The water, the water, the water saving us from the heat"", ""Some things will die in their place Others will leave little trace Fire will come by its day The water, the water, the water washing it all away"", ""Rain on my frustration Stake my claim, now break this Wash me down my station Makes more rain forsaken"", ""In-between the sky and every piece of the earth One, two, three, let's make this In-between the sky and every piece of the earth One, two, three, forsake this"", ""In-between the sky and every piece of the earth One, two, three, let's make this In-between the sky and every piece of the earth One, two, three, forsake this"""
213,joe   ,"""Burning up your hometown streets could set a fire for the world to catch Burn it up, no need to reconcile"", ""Come and see me, i'm your west end perfect stranger in america Lady on that state's so full of style"", ""Stand up, turn around, beat it out you gotta sound, Joe Swing low and now i know, its hard to let a brother go, Joe"", ""The many boots that you have laced could tell a story comin night and day No one said that you would need a crowd"", ""The many lands that you have graced could make a case that there is no better make And now i only see your face in clouds"", ""Stand up, turn around beat it out you gotta sound, Joe Swing low and now i know it's hard to let a brother go, joe"", ""Stand up, turn around, beat it out you gotta sound, Joe Swing low and now i know it's hard to let a brother go, jJoe"", ""Tell me so Do you know Does it show When i'm low"", ""And then again, when i feel your love from far away i think of yesterday I see a family we know how to smile"", ""There comes a time when you must rock another world and we will get along There comes a time when we will walk that mile Stand up, turn around beat it out you gotta sound, Joe Swing low and now i know it's hard to let a brother go, Joe Stand up, turn around beat it out you gotta sound, Joe Swing low and now i know it's hard to let a brother go, Joe"""
214,21st century   ,"""All the creatures, on the beaches Makin' waves in the motion picture Won't you keep this, in between us Search and seizure, wake up venus"", ""The dollar bill will Return the ill pill Mom and Dad take your 'dont be sad' pill Turn the screw and twist my language Don't forsake me im contagious!"", ""Theres a reason for the twenty-first century... Not too sure but I know that its meant to be And that it's meant to be"", ""It's my favorite combination Comin' down with the favored nations Deep rotation, mutilation Learn to give and take dictation Oh, oh, oh, oh-oh Like the Cain and Able Oh, oh, oh, oh-oh Time to run this table"", ""There's a reason for the 21st Century Not too sure but I know that's it's meant to be And that it's meant to be"", ""Read me your scripture and Read me your scripture Read me your scripture and I will twist it Show me your wrist and I Show me your wrist and Show me your wrist and I'll Kiss it kiss it Oh, oh, oh, oh-oh Like the Cain and Able Oh, oh, oh, oh-oh It's time to run this table"", ""Simple Soldier, hand it over Stop and read what you just told her Strangulation, altercation Of all the sex and good vibrations"", ""There's a reason for the 21st Century Not to sure but I know that's it's meant to be And that it's meant to be yeah"", ""There's a reason for the 21st Century Not to sure but I know that's it's meant to be And that it's meant to be"""
215,dosed   ,"""I got dosed by you and Closer than most to you and What am I supposed to do? Take it away I never had it anyway Take it away and everything will be okay"", ""In you a star is born and You cut a perfect form and Someone forever warm Lay on Lay on Lay on Lay on Lay on Lay on Lay on Lay on"", ""Way upon the mountain where she died All I ever wanted was your life Deep inside the canyon I can't hide All I ever wanted was your life"", ""Show love with no remorse and Climb onto your sea horse and This ride is right on course This is the way I wanted it to be with you This is the way I knew that it would be with you Lay on Lay on Lay on Lay on Lay on Lay on Lay on Lay on"", ""Way upon the mountain where she died All I ever wanted was your life Deep inside the canyon I can't hide All I ever wanted was your life"", ""I got dosed by you and Closer than most to you and What am I supposed to do Take it away I never had it anyway Take it away and everything will be ok Way upon the mountain where she died All I ever wanted was your life Deep inside the canyon I can't hide All I ever wanted was your life"""
216,easily   ,"""Easily let's get carried away Easily let's get married today Shao Lin shouted a rose From his throat Everything must go A lickin' stick is thicker When you break it to show Everything must go The story of a woman on the morning of a war Remind me if you will exactly what we're fighting for Calling calling for something in the air Calling calling I know you must be there Easily let's get caught in a wave Easily we won't get caught in a cage Shao Lin shakin' for the sake Of his soul Everything must go Lookin' mighty tired of All the things that you own Everything must go I can't tell you who to idolize You think it's almost over But it's only on the rise Calling calling For something in the air Calling calling I know you must be there The story of a woman on the morning of a war Remind me if you will exactly what we're fighting for Throw me to the wolves Because there's order in the pack Throw me to the sky Because I know I'm coming back"", ""Shao Lin shakin' for the sake Of his soul Everything must go Lookin' mighty tired of All the things that you own Everything must go The story of a woman on the morning of a war Remind me if you will exactly what we're fighting for Calling calling for something in the air Calling calling I know you must be there I don't want to be your little research monkey boy"", ""The creature that I am is only going to destroy"", ""Throw me to the wolves Because there's order in the pack"", ""Throw me to the sky Because I know I'm coming back Easily"""
217,minor thing   ,"""I change the key from C to D You see to me it's just a minor thing, y'all He knows everything To re-adjust you've got to trust That all the fuss it's just a minor thing, ya'll He knows everything. It's just a minor thing And I'm a minor King. He knows everything."", ""You got your bit part, Mo-zart Hot dart, Acceleration Pop art, Pistol chasing"", ""Cat Fight intimidation"", ""To read a mind, you've got to Re-define the line to make your circles sing y'all He knows everything You make a sound The spell is bound to come around It's just a minor thing, y'all He knows everything. It's just a minor thing"", ""And I'm a minor King. He knows everything."", ""You've got your bit part, Mo-zart Hot dart acceleration Pop art, Pistol chasin' Cat Fight intimidation All Out interfacing"", ""Black Star motivation Vam-pire sugar Junkie Data-Basin' infiltration"", ""I change the key from C to D You see to me it's just a minor thing, y'all He knows everything To re-adjust you've gotta trust That all the fuss is just a minor thing, y'all He knows everything. It's just a minor thing And I'm a minor King. It's just a minor thing And I'm a minor King."""
218,warm tape   ,"""Shiver for me, girl Deliver for me, my darling Pushing up to you A river that runs right through you Swim for your smile in a blue rock quarry Make it for me, baby, you won't be sorry Shiver for me now Deliver for me, my darling"", ""CHORUS Miles and miles of nether worlds I roam Settle for love, you're never far from home Carry me down into the waters of Carry me down into the water of love Two of us were made of angel dust I've been around, but not around enough"", ""Shadow my free form A woman that I could keep warm Quiver for me, girl Give me your head and shoulders Shot from the pages of love and glory Sleeping next to you, and I'm in your story Shadow my free form A woman that I could keep warm"", ""CHORUS"", ""Let's go I know I'll make it for two And then intuition's only what you take from it I know I'll make it for two And then you were there and I was fortunate I know I'll make it for two And then a messy bed, apology that I will fall for you, yeah I know I'll make it for two I'll make it for two, I'll make it for two, and"", ""Shiver for me now Deliver for me, my darling A living that I could Be given to you, my sweet love Swim for your smile in a blue rock quarry Make it for me, baby, you won't be sorry Shot from the pages of love and glory Sleeping next to you and I'm in your dream Settle for love Settle for love Settle for love"""
219,storm in a teacup   ,"""\""Oh good god in heaven almighty, heavens to Murgatroid, we've got a cataclysmic situation developing, somebody get down here now...!\"""", ""Come on come on baby Let me show you what I'm talkin' about Whoop-tay-Whoop-tay-git-ta-gala-goop-ta"", ""You try to be a lady But you're walkin' like a sauerkraut Whoop-tay-Whoop-tay-git-ta-gala-goop-ta"", ""Looka looka lika lika Like you want to get some Whoop-tay-Whoop-tay-git-ta-gala-goop-ta"", ""If you never tell a lie Then you never have to play dumb Whoop-tay-Whoop-tay-git-ta-gala-goop-ta"", ""Dirty baby, time you're gonna take some Pretty baby, love you're gonna make some Little lady, hearts you're gonna break some Kinda shady, tears you're gonna fake some"", ""Dirty baby, we've got a situation Pretty baby, open invitation Little lady, what a reputation Kinda shady, now you're gonna make again"", ""I know you can straddle the atmosphere A tiny storm in your teacup, girl I know you can battle the masses, dear A tiny storm in your teacup, girl"", ""\""Oh god, oh no, oh no it's getting worse, worse by the minute, uh-uh-uh we're down here at division and 5th street, somebody send for back up right now!\"""", ""Every other day you say You're gonna have to bury 'em Whoop-tay-Whoop-tay-git-ta-gala-goop-ta"", ""Famous last words Spoken from the laserium Whoop-tay-Whoop-tay-git-ta-gala-goop-ta"", ""Descendents had a record Sayin' somethin' 'bout Milo Whoop-tay-Whoop-tay-git-ta-gala-goop-ta"", ""You can take the A-Train But you're gonna have to lie low Whoop-tay-Whoop-tay-git-ta-gala-goop-ta"", ""I know you can straddle the atmosphere A tiny storm in your teacup, girl I know you can battle the masses, dear A tiny storm in your teacup, girl"", ""Yeah, yeah, yeah, yeah"", ""Dirty baby, time you're gonna take some Pretty baby, love you're gonna make some Little lady, hearts you're gonna break some Kinda shady, tears you're gonna fake some"", ""Dirty baby, we've got a situation Pretty baby, open invitation Little lady, what a reputation Kinda shady, now you're gonna make again"", ""I know you can straddle the atmosphere A tiny storm in your teacup, girl I know we may never get out of here A tiny storm in your teacup, girl"""
220,green heaven   ,"""About this planet, there is something I know There's a very big difference between above and below A friend foe, or bro, leave your body on the floor Let your spirit fly away like the soul of a crow"", ""Here, above land, man has laid his plan And yes, it does include the Ku Klux Klan We got a government so twisted and bent Bombs, tanks and guns is how our money is spent We got V.D., heroin, greed and prostitution Tension, aggravation, L. Ron Hubbard solution Not to mention hard-core chemical pollution If you think you're just away, you're in a mental institution And that's a heart felt shame 'Cos everyone's crazy, everyone's the same So, why should only Larry, Curly and Moe be to blame?"", ""Time now to take you to a different place Where peace lovin' whales flow through liquid outer space A groovin' and a gliddin' as graceful as lace A never losing touch with the ocean's embrace Diviner than the dolphin, that there is none 'Cause dolphins just-a like to have a lot of fun No one tells 'em how their life is run And no one points at them with a gun They have a lot of love for every living creature The smile of a dolphin is a built in feature They be movin' in schools but everyone's the teacher Someday mister dolphin, I know I'm go'n to meet you"", ""Back to the land of the police man Where he does whatever he says he can Including hating you because you're a Jew Or beating black ass, that's nothing new Trigger happy cops, they just like to brawl They use guns, clubs, gas, but that's not all They got puke, ridden prisons and sex sick jails Fuck the poor, if you're rich you pay the bail So support your police, support your local wars That's the way to open economic doors Why do we do it? 'Cause the president's a whore We assume the position to sell the ammunition What the fuck? It's the american tradition Along with going fishin' apple pies in the kitchen Isn't it bitchin' seeing dead men in ditches?"""
221,aeroplane   ,"""I like pleasure spiked with pain And music is my aeroplane It's my aeroplane Songbird sweet and sour Jane And music is my aeroplane It's my aeroplane Pleasure spiked with pain That motherfucker's always spiked with pain"", ""Looking in my own eyes Hey lord I can't find the love I want Someone better slap me Before I start to rust Before I start to decompose Looking in my rear view mirror Looking in my rear view mirror I can make it disappear"", ""I can make it disappear!"", ""Have no fear! I like pleasure spiked with pain And music is my aeroplane It's my aeroplane Songbird sweet and sour Jane And music is my aeroplane"", ""It's my aeroplane Pleasure spiked with pain"", ""That motherfucker's always spiked with pain Sitting in my kitchen, hey girl"", ""I'm turning into dust again My melancholy baby The star of mazzy must"", ""Push her voice inside of me I'm overcoming gravity I'm overcoming gravity"", ""It's easy when you're sad to be It's easy when you're sad, sad like me I like pleasure spiked with pain And music is my aeroplane"", ""It's my aeroplane Songbird sweet and sour Jane"", ""And music is my aeroplane It's my aeroplane Pleasure spiked with pain Just one note Could make me float"", ""Could make me float away One note from The song she wrote Could fuck me where I lay Just one note Could make me choke One note that's not a lie Just one note Could cut my throat One note could make me die! I like pleasure spiked with pain And music is my aeroplane It's my aeroplane Songbird sweet and sour Jane And music is my aeroplane It's my aeroplane Pleasure spiked with pain (It's my aeroplane) (It's my aeroplane) (It's my aeroplane) (It's my aeroplane) (It's my aeroplane) (It's my aeroplane) (It's my aeroplane) (It's my aeroplane) (It's my aeroplane)"""
222,fat dance   ,"""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""One reason why I got you for A-woman is that you can do the moveable Kitchen or bedroom or bathroom floor Keep it moving cause I need the hardcore"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Soft, she's off and left, now I'm a coming I'm feeling in the ghetto 'cause that's my trouble"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Another reason why I love your ass Your dancing like everyday could be your last Do ya do ya do ya wanna dance Lets get it on like black trash"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Soft, she's off and left, now I'm a coming I'm feeling in the ghetto 'cause that's my trouble"", ""I met her on the school yard and She was such a cool card She took me for a fool Because I acted like a bodyguard Oh Yohanna love, my Yohanna love She was just the cutest thing My god that I have ever seen Tearin up my seraton and messing With my dopamine Oh Yohanna love, my Yohanna love Just about the time That I was feeling fine again She walked into the room Wearing nothing but a cardigan Oh Yohanna love, my Yohanna love She knew what she was doin' When she told me no she would Never let the perfect message In and get the perfect screwin' Oh Yohanna love oh oh"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Do a phfat dance Do a phfat dance Do a do a do a phfat dance"", ""Number three reasons why I'm in your house Hot butter melts across your mouth Dancing and a dancing, And a dancing machine Somebody move, Somebody scream"", ""Yeah"", ""One reason why I got you floored A-woman is that you can do the move-a-more Kitchen or bedroom or bathroom floor Keep it moving 'cause I need the hardcore I need the hardcore I need the hardcore I need the hardcore Hardcore"""
223,theyre red hot   ,"""Hot tamales and they red hot Yes, she got 'em for sale Hot tamales and they red not Oh, she got 'em for sale"", ""I got a girl, say she long and tall Sleeps in the kitchen With her feets in the hall"", ""Hot tamales and they red hot Oh, she got 'em for sale Yes, she got 'em for sale, oh yeah"", ""Well, hot tamales and they red hot Yes, she got 'em for sale Hot tamales and they red hot Yes, she got 'em for sale"", ""You know the monkey Now the baboon playin' in the grass Well, the monkey stuck his finger In that old Good Gulf Gas, tell me"", ""Hot tamales and they red hot Yes, she got 'em for sale, I mean Yes, she got 'em for sale, oh yeah, now"", ""Hot tamales and they red hot Yes, she got 'em for sale Hot tamales and they red hot Oh, she got 'em for sale"", ""She got two for a nickel Got four for a dime Would sell you more But they ain't none of mine"", ""It's only hot tamales and they red hot Well, she got 'em for sale I mean, she got 'em for sale, oh yeah"", ""Hot tamales and they red hot Oh, she got 'em for sale, yeah, yeah Hot tamales and they red hot Oh, she got 'em for sale"", ""I'm gonna upset your backbone Put your kidneys to sleep I'll due to break 'way your liver And dare your heart [Incomprehensible]"", ""Hot tamales 'cause they red hot Oh, they got 'em for sale, I mean Yes, she got 'em for sale, oh yeah"""
224,brave from afar   ,"""When I hold you for country Saved by a star Can I hold you to one thing Do you feel safe when They tell you they sell you Pray for your children The shelter they're building"", ""Prime time, the perfect crime Bow my head, the axe we grind Ruse cruise, P's and Q's I got beat up by the evening news Deep hits, the media blitz Lost my mind to keep my wits Maintain the same old same Goodbye shiz and so long game"", ""When I hold you for country Saved by a star Can I hold you to one thing Do you feel safe when They tell you they sell you Pray for your children The shelter they're building"", ""Plain Jane, the big campaign Last detail has been restrained Fraud, fraud, the lightening rod See that sign, time to applaud"", ""When I hold you for country Saved by a star Can I hold you to one thing Do you feel safe when They tell you they sell you Pray for your children The shelter they're building"""
225,one big mob   ,"""INTRO (I am, you are me) (I am, you are me) (I am, you are me) (I am, you are me) (I am, you are me) good woman said you gotta believe (I am, you are me) (I am, you are me) submerge into the urge of we (I am, you are me) (I am, you are me) deliciously (I am, you are me) the mystery (I am, you are me) the mystery"", ""CHORUS One big mob (ah, yeah, ah, yeah) One big mob (ah, yeah, ah, yeah) Eh bara mala (ah, yeah, ah, yeah) Eh bara mala (ah, yeah, ah, yeah)"", ""(One big mob is)"", ""Ooze into, into my noodle East or west, shepherd or poddle Lady bug pine tree To mingle with the bumblebee A lover to the Sun And a brother to the cool breeze"", ""(One big mob is)"", ""CHORUS"", ""(One big mob is)"", ""We live in the city We live in the jungle It's time to be drinking A thimble humble Everything you ever see Is never more than you and me Give it on into the beauty of the mystery"", ""(One big mob is all)"", ""One big mob in one big home A broken home I'd like to share some air with you Some air with you A morning forest full of truths The green is blue The head that's getting pregnant lives To give and give"", ""What was I thinking in my head The color red Breaking hearts instead of bread Something I said Checkmated by frustration now Need to be cut loose A different kind of being lost A sullen cost"", ""INTRO CHORUS"", ""(One big mob is)"", ""Scrawled upon the wall Of a bathroom stall A stranger wrote a note That spoke to all One, two Buckle my shoe Take care of me 'Cause I might be you"", ""(One big mob is)"", ""CHORUS"", ""(One big mob is)"", ""Picaboo Street in Timbuktu Do I need repeat That a boy named Sue Rockin' to the beat Of the kangaroo Let me kiss your feet And your forehead too"", ""(One big mob is)"""
226,teenager in love   ,"""Each time we have a quarrel It almost breaks my heart 'Cause I'm so afraid That we will have to part Each night I ask the stars up above Why must I be a teenager in love?"", ""One day I feel so happy Next day I feel so sad I guess I have to learn The good with the bad Each night I ask the stars up above Why must I be a teenager in love?"", ""I cried a tear For nobody but you I'll be the lonely one If you should say we're through"", ""Well, if you want to make me cry That won't be so hard to do If'n you should say goodbye I'll still go on loving you Each night I ask the stars up above Why must I be a teenager in love?"", ""I cried a tear For nobody but you I'll be the lonely one If you should say we're through"", ""Well, if you want to make me cry That won't be so hard to do And if you say goodbye I'll still go on loving you Each night I ask the stars up above Why must I be a teenager in love?"", ""Why must I be a teenager in love?"", ""Why must I be a teenager in love?"", ""Why must I be a teenager in love?"", ""Why must I be a teenager in love?"", ""Why must I be a teenager in love?"", ""Why must I be a teenager in love?"""
227,how it ends   ,"""Love is all the world You say the world is gone Love is all the world You say it's gone I don't"", ""The party in your eyes Says someone to caress A party in the sky I think I'll wear a dress"", ""God saves us all and tell us how it ends Laugh till we fall so why can't we be friends"", ""Mother taught me what to do in cocktail times Work and play all day until the sun is high Haley and the comets sang an old rock jam The ukulele play another song I'll brag"", ""God saves us all and tell us how it ends Laugh till we fall so why can't we be friends"", ""Stole a lot from Peter Cause had to pay your Paul And when you find that's not enough He'll break your fall"", ""Some get on and some Get off the carousel I think it's time to go So I will fare thee well"", ""God saves us all and tell us how it ends Laugh till we fall so why can't we be friends"", ""Stole a lot from Peter Cause had to pay your Paul And when you find that's not enough He'll break your fall"""
228,police helicopter   ,"""Aw!"", ""Police helicopter shot the sky Police helicopter landin' on my eye"", ""Yeah!"", ""Police helicopter takes a nose-dive Police helicopter, he ain't shy"", ""Yeah!"", ""Aw!"", ""Police helicopter shot the sky Police helicopter landin' on my eye"", ""Yeah!"", ""Police helicopter takes a nose-dive Police helicopter, he ain't shy"", ""Yeah!"", ""Aww!"""
229,million miles of water   ,"""Broke down, I found Even when you think you need a rest You will live to fight another round I know its too bad, so sad All the things that we could've been and could've had"", ""Hey girl, what sound A million miles of water that are flowing deep beneath this ground Now, I found you right here A million miles of water"", ""You were my muse Just because you happen to have a bomb doesn't mean you light the fuse I know that my girl, big lie Four years in and you never even said goodbye"", ""Hey girl, what sound A million miles of water that are Flowing deep beneath this ground Now, I found you right here A million miles of water dear"", ""Hey girl, what sound I want you to remember that some times we have to go without Now I found it right here I want you to remember dear"", ""We were two of a funny kind So damn blind but now we got to nevermind I know that this is the end, we tried So hard, but now I got to lose a friend"", ""Hey girl, what sound A million miles of water that are Flowing deep beneath this ground Now, I found you right here A million miles of water dear"", ""Hey girl, what sound I want you to remember that some times we have to go without Now I found it right here I want you to remember dear"""
230,never is a long time   ,"""If I stole it all, or hesitate The world would always never seems to wait A comedy that could be so divine Never is a long time A shadow born to steal the light of day"", ""You woke me up and said come on let's play But now I know this never had between You are, you are the star within The far, the far, the far away The law that caused it all to stay By you, by you, by you, by you, for you, I do I thought I done it all, I thought I knew"", ""But nothing ever looked as clear as you Now every never that I knew was fine But Never is a long time Now I share this feeling in my yang Stolen good time, always give away A never that will always wonder what the star will say"", ""From far, from far, from far away The law that caused it all to stay by you, by you By you, by you A baby cla\u00e1\u00b9\u0097ping on your dress, will always have a place I guess, by You, by you I'm in love, and we could bless the pleasure of my child's best Lonely books and tenderness, to rescue me from emptiness You are, you are the star within The far, the far, the far away The law that caused it all to stay You are, you are, the star within The far, the far, the far away, it all, it all, it all to stay"""
231,yertle the turtle   ,"""On a far away island of Salamasond Yertle the turtle Was king of the pond A nice little pond It was clean it was neat The water was warm There was plenty to eat Until one day The king of them all Decided the kingdom He ruled was too small I'm a ruler of all that I see But I don't see enough And that's the trouble with me"", ""With this stone for a throne I am too low down I cannot look down Upon the places beyond So Yertle the turtle king Lifted his hand And Yertle the turtle king Lifted his hand He ordered all the turtles Onto one another's back He piled them high Into a ten turtle stack I'm Yertle the turtle The things I now rule I'm king of a cow I'm king of a mule"", ""Then down from below In the great turtle stack Came a burp from a plain Little turtle named Mack Just part of the throne This burpin' little turtle Looked up and said \""I beg Your pardon king Yertle\"" I've pains in my back My shoulders and my knees How long must we stand Here your majesty \""Silence!\"" the king of the Turtles barked back To the bad burpin' Little turtle named Mack I'm Yertle the turtle Oh marvelous me for I am ruler of all that I see"", ""Yertle, Yertle the turtle... Yertle, Yertle the turtle..."""
